ord_hdrnumber	order_date
243188	03/02/2021
160113	08/16/2016
160446	08/23/2016
160646	08/27/2016
160881	09/06/2016
160931	09/06/2016
160999	09/10/2016
161214	09/14/2016
161331	09/22/2016
161667	09/27/2016
161782	09/30/2016


-------------------


order_date	stp_event	QUANTITY
11/10/2003	LUL	1
01/13/2012	LLD	1
01/13/2012	LUL	1
08/10/2016	DRL	1
08/10/2016	HPL	2
08/10/2016	LUL	1
08/11/2016	DRL	4
08/11/2016	HPL	6
08/11/2016	LLD	42
08/11/2016	LUL	59
08/12/2016	DRL	10
08/12/2016	HPL	12



order_date	MoveType	EmptyMiles	LoadedMiles
05/06/2024	CITY	189	0
05/01/2024	CITY	132	0
05/01/2024	HWY	60	4783
04/30/2024	CITY	373	502
04/30/2024	HWY	2510	30094
04/29/2024	CITY	1704	4807
04/29/2024	HWY	4705	80651
04/28/2024	CITY	1554	4231
04/28/2024	HWY	3183	57471
04/27/2024	CITY	2135	5233
04/27/2024	HWY	3369	54010
04/26/2024	CITY	3915	8589



lgh_startdate	MoveType	EmptyMiles	LoadedMiles
05/01/2024	HIGHWAY MOVE	60	4783
04/30/2024	CALGARY LCL	300	429
04/30/2024	EDM LOCAL	254	263
04/30/2024	HIGHWAY MOVE	930	34779
04/30/2024	INTERIOR BC LOCAL	12	95
04/30/2024	UNKNOWN	0	599
04/30/2024	VANCOUVER LOCAL	194	1422
04/30/2024	YVR ISLAND LCL	496	1067
04/29/2024	CALGARY LCL	522	462
04/29/2024	EDM LOCAL	250	300
04/29/2024	HIGHWAY MOVE	9101	85187
04/29/2024	INTERIOR BC LOCAL	62	73
04/29/2024	VANCOUVER LOCAL	2375	4220
04/29/2024	YVR ISLAND LCL	1051	2231
04/28/2024	CALGARY LCL	414	412

